Aamodt,,Tor,815888
Aaron,,Jane,1678751
Abaci,,Uygar,1616463
Abdelmagid,,Walid,2270247
Abdul-Mageed,,Muhammad,2382799
Abe,,Masumi,2281538
Abedi,,Amir,107036
Abedinifard,,Mostafa,2447346
Abelev,,Maxim,1153806
Abello,,Juan,2488161
Abraham,,Ninan,312406
Abrutyn,,Seth,2345012
Abugharbieh,,Rafeef,964957
Accili,,Eric,893789
Acheson,,Alison,363795
Ackerman,,Paige,914579
Acton,,Donald,65571
Adam,,Gyenge,2332854
Adams,,Keith,816407
Adamson,,Martin,322426
Addison,,Chris,1523571
Adebar,,Perry,43743
Adler,,Andrew,21110
Adshade,,Marina,1844857
Adu,,Prince,2690198
Affleck,,Ian,1751917
Affolder,,Natasha,774487
Afsahi,,Afsoun,1903266
Agarwal,,Isha,2540551
Agharebparast,,Farshid,1457239
Agudo,Gonzalez,David,2403718
Aguilar,Lara,Jose,1791222
Agurto,,Marcos,1302102
Ahenakew,,Cash,2078332
Ahern,,Chris,1302736
Ahmad,,Rana,1072552
Ahmadieh,,Arman,1857929
Ahmed,,Rumee,1747383
Ahrestani,,Persis,1731844
Aidelbaum,,Martin,1563236
Aiello,,William,1672812
Aijazi,,Omer,2240533
Aiken,,Nevin,1455474
Aitken,,Sally,314406
Ajdari,,Kamyar,535492
Aje,,Susu,1178376
Akbar,,Mohammed,1619911
Akhavan,,Abbas,1326660
Akhtar,,Yasmin,643638
Aknin,,Lara,1581360
Al-Darbi,,Muhannad,973752
Al-Kassim,,Dina,1678765
Alaiz Losada,,Susana,498199
Alam,,Matiul,1495529
Albarran Caselles,,Olga,1832669
Alden,,Lynn,55131
Aldrich,,John,1699020
Aleem,,Usman,2152481
Alexander,,Alyssa,2714355
Alexis,,Guigue,1669578
Alfantazi,,Akram,89707
Alfieri,,Antonio,2527444
Algar,,Russ,2259771
Alger,,Justin,2223295
Alhomiedan,,Hamad,2370970
Ali,,Khawaja Faran,1529536
Alifa,,Bandani,2699513
Alila,,Younes,587759
Alimohammadi,,Majid,487809
Alimov,,Aziz,2199509
Aliniaiefard,,Farid,2578543
Alisharan,,Steve,466613
Alissa,,Reem,1884572
Alizadeh-Pasdar,,Nooshin,313978
Allard,,Jun,1325174
Allegretti,,Dylan,2659788
Allen,,Susan,108607
Allen,,Nathan,1686305
Allen,,Kevin,1691422
Allen,,Meghan,1009022
Alnuweiri,,Hussein,257388
Aloni,,Erez,2674118
Alpert,,Elaine,1388191
Alpert,,Hannah,2518299
Altintas,,Yusuf,2104715
Altman,,Jonas,2355251
Altow,,Debby,1366718
Altshuler,,Douglas,1753836
Alvarez,,Alejandro,696549
Alvarez,,Henri,863562
Alvarez Moreno,,Raul ,2044710
Alvarez-Jaimes,,Javier,1656057
Alviarez,,Vanessa,2176772
Ameli,,Ali,1491996
Amiri,K,Amin,2243950
Amlani,,Alym,2190282
Amundson,,Norman,226413
Anasavarapu,,Srikantha,1272564
Anchors,,Zach,1108619
Andersen,,Joceline,2295075
Anderson,,Scott,331077
Anderson-Dargatz,,Gail,1808674
Andres,,Sebastien,1326572
Andres,,Lesley,967086
Andrews,,Thomas,2546950
Angel,,Omer,460083
Angela,,Redish,1615663
Angeles,,Leonora,210855
Anger,,Suzy,223073
Anjos,,Luciano,785225
Ansa Goicoechea,,Elixabete,1576425
Anstee,,Richard,24293
Ante,,Richard,942579
Antweiler,,Werner,213201
Antwi,,Phanuel,2095348
Ao,,Weiwei,1967457
Aparicio,,Jose,1083967
Appelt,,Kirstin,2097126
Aquash,,Mark,1705639
Aquino,,Karl,793790
Arasanipalai Kandhadai,,Priya,1751536
Arbel,,Daphna,316882
Arbel,,Efrat,1876567
Arcese,,Peter,581987
Arcila-Maya,,Niny,2687451
Arduini,,Andrea,2211034
Arefin,Rafi,Mohammed,2618828
Armitage,,Neil,2126587
Armoskaite,,Solveiga,1127629
Armstrong,,Karen,847194
Armstrong,,Heather,2275096
Arneil,,Barbara,30062
Arnett,,Christopher,2198589
Arnovick,,Leslie,195967
Arora,,Kamal,2330797
Aruliah,,Dhavide,2404608
Arvan,,Marcus,1146593
Asaee,,Rasoul,2286457
Ascher,,Uri,47304
Asgarli,,Shamil,2552090
Asgharzadeh,Mohammad,Seyed,2594584
Ashok,,Kotwal,1733567
Ashton,,Clayton ,2044081
Ashton-James,,Claire,1040182
Askari,,Nasrin,1882782
Askarzadeh,Bellal,Alii,2637821
Assanand,,Sunaina,571516
Asselin,,Edouard,2042245
Atabaki,,Nima,1059562
Atighechi,,Hamid,2180271
Attewell,,Wesley,1027197
Atwal,,Perry,1292996
AUGER-METHE,,MARIE,2450264
Auld,,Vanessa,74515
Austin,,Philip,2646583
Austin,,Phil,49125
Averitt-Hubbard,,Sally,2679003
Avery,,Lisa,2075132
Aviles,,Leticia,407732
Avramidis,,Stavros,767988
Awad,,Ahmed,2163462
Aydede,,Murat,1092127
Aylward,,Travis,465422
Azaron,,Amir,2581181
Aziz,,Arslan,2589713
Babel,,Molly,1571576
Babiak,,Peter,55248
Bablitz,,Leanne,77781
Bacca,,Sonia,1813067
Bacca,,Mattia,2291649
Bach,,Samuel,2332585
Bachmann,,Sven,2369689
Bacsfalvi,,Penelope,1454301
Bade,,Nate,2178825
Bade,,Nathaniel,2305536
Badir,,Patricia,80623
Baer,,Ursula,927792
Baere,De,Bart,2248571
Bagheri,,Mehdi,1999508
Bagherzadeh,,Alireza,2084979
Bahi,,Ardeshir,2445419
Bahman,,Najarian,1564328
Bahreini,Fard,Amir,2577669
Baier,,Nico,2607326
Baier,,Gerald,224072
Baik,Kyeong,Min,2620817
Bailey,,Alison,34186
Bailey,,Elisabeth,2646934
Baillie,,Traci,1063237
Bain,,Amelia,1475023
Baines,,Erin,240135
Bakan,,Joel,218792
Baker,,Donald,434503
Bakker,,Karen,104199
Balaghi,,Rayan,2722840
Baldauf,,Markus,2194226
Balka,,Richard,2042623
Ballagh,,Irene,2572257
Ballarin,,Roberta,1787728
Balmforth,,Neil,961859
Balotskiy,,Aleksey,2381532
Baloy,,Natalie,1490134
Banack,,Clark,1460760
Banet,,Mandy,1697938
Baniassad,,Elisa,1956296
Barbara,,Casson,1594765
Barbieri,,Sebastian,2384389
Barcsay,,Katherine,1090417
Barenscott,,Dorothy,866346
Barichello,,Rick,58681
Barichello,,Richard,2154347
Barker,,John,34390
Barker,,Megan,1907694
Barnes,,Barry,1010253
Barnes,,Kay,2153173
Barnes,,Steven,1100913
Barnes,,Trevor,28748
Baron,,Andrew,1481954
Barr,,Peter,36840
Barr,,Susan,344291
Barreto,,Jamille,1733267
Barroso de Freitas,,Nuno,2335181
Barry,M.,Anna,1951936
Barter,,Shane,958425
Bartha,,Paul,61315
Bartlett,,Nicholas,2399454
Bartock,,Pamela,2385811
Bartolic,,Silvia,1032706
Barton,,James,30766
Bascou de Vallarino,,Sylvia,610350
Bascou Vallarino,,Sylvia,1605343
Bashashati,,Ali,647470
Bass,,John,315191
Basto da Silva,,Rui Jorge,2037468
Bates,,Gordon,24794
Bates,,Frances,42333
Bates,,Simon,1799777
Baum,,Bruce,104854
Baumgartner,,Michael,1111657
Baumvol,,Laura,2502520
Bawa,,Nirmal,874240
Baxter,,Gisele Marie,57667
Baylis,,Patrick,2377536
Beales,,Meredith,2335768
Beare,,David,1024748
Bears,,Heather,927651
Beasley-Murray,,Jon,398316
Beattie,James,William,1860812
Beatty,,Tom,112755
Beatty,,John,319705
Beauchamp,,Mark,1872629
Beauchesne,,Kim,1747864
Beaudry,,Paul,61159
Beausoleil,,Emily,1620596
Beauvais,,Edana,2028249
Beaver,,Dwayne,1972520
Bebamzadeh,,Armin,1504839
Beckie,,Roger,563978
Bedke,,Matthew,1326327
Bedo,Alan,Burt,2651986
Begley,,Joy,1075065
Behrend,,Kai,93778
Beith,,Don,2142543
Bekkering,,Denis,1264925
Belardetti,,Francesco,1858645
Belcourt,,Billy-Ray,2605758
Belk,,Ed,2504050
Bellefleur,,Timothy,2457025
Belleville,,Patrice,9170
Belter,,Janelle,968895
Bemmels,,Brian,2377618
Bena,,Jan,1453277
Benavente,,Oscar,2568689
Benbasat,,Julyet,38177
Benchamin,,Franklin,1814206
Bendix,,William,1261641
Benedet,,Janine,829169
Benesch,,Oleq,1563717
Benimeo,,Maria,2260053
Benjamin,,William,71834
Bennett,,Dwight,1304988
Bennett,,Chris,1453715
Bennett,,Erica,2520042
Bennett,,Mike,181528
Bennison,Michelle,Hannah,2620091
Bennoun,,Steve,1385176
Bentley,,Amelia,2161868
Berard,,Marie-France,2660909
Berbee,,Mary Lee,58356
Berciu,,Mona,152407
Bercovici,,Debra,2689310
Berezowsky,,Craig,41732
Berg,,Celina,2153794
Berger,,James,42332
Berger-Gross,,Jessica,1287837
Bergeron,,Maxime ,1946780
Berglund,,Birgitta,1155633
Beringer,,Alison,1426996
Berk,,Jonathan,2567990
Berkowitz,,Jonathan,96364
Berlinguette,,Curtis,2048174
Berndt,,Annette,794133
Berryman,,Sylvia,412107
Bertram,,Allan,29977
Beschastnikh,,Ivan,1867361
Bett,,Nolan,2581898
Bevier,,Marylou,422454
Beznosov,,Konstantin,1989751
Bhamra,,Harjoat Singh,426826
Bhandal,,Taqdir,2641492
Bhargava,,Vijay,1539757
Bhatt,,Sunil,2391244
Bhutta,,Aamer,2411780
Bi,,Tony,227389
Bian,,Bo,2588396
Biehler,,Dawn,1093770
Biermann,,Ina,81629
Biesanz,,Jeremy,422125
Bigazzi,,Alexander,2233325
Billings,,Scott,2642366
Bingham,,Brenda,1726691
Bingle,,Wade,42346
Birch,,Susan,422745
Bird,,Brian,2658220
Birk,,Manjeet,2397307
Birks,,Roberta,42702
Bishundayal,,Deo,1806440
Bittner,,Tom,310568
Biukovic,,Ljiljana,216917
Bizhani,,Majid,2332412
Bizzotto,,Dan,174244
Black,,Jennifer,2683267
Blackburn,,Carole,204726
Blackwell,,Bruce,1345566
Blades,,Michael,41736
Blair,,Alec,2270022
Blake,,Michael,32308
Blake,,Robert,792944
Blake,,Susan J.,76195
Blake,,Susan,2707382
Blanc,,Magali,2250475
Bleck,,Alexander,1886618
Bligh,,Elizabeth,2007187
Bloch,,Alexia,32049
Blois,,Cindy,1476438
Blok,,Hendrik (Rik),2303760
Blom,,Joost,69813
Blouin,,Jean-Sebastien,2072594
Blouin,,Jean-Sebastien,1434400
Bluman,,George,715355
Blunderfield,,Ed,1386209
Blundon,,Elizabeth,2268024
Blunk,,Mark,1344741
Boardman,,Tony,1075835
Bobinski,,Mary Anne,1597867
Boccassini,,Daniela,401202
Boddy,,Janice,430237
Bodnar,,Tamara,2225089
Bodolec,,Jacques,273843
Bohlken,,Anjali,1525087
Bohnet,,Adam,1436390
Bole,,Greg,2118951
Bole,,Greg,440145
Bolen,,Liza,2288635
Boley,C,Aaron,2202230
Bolz,,Cedric,829953
Bombardini,,Matilde,780872
Bomke,,Art,361301
Bond,,Matthew,1748353
Bonin,,Grant,596224
Bonn,,Douglas,2606036
Bonny,,Sandy,1097925
Booker,,Courtney,309978
Booluck,,Pooja,2525805
Booth,,Kellogg,9173
Boothe,,Katherine,1382731
Borja,,Lauren,2367039
Borkent,,Mike,2410114
Boroushaki,,Shirin,2445148
Borowski,,Peter,979264
Bortolussi,,Paolo,2501298
Borys,,David,2053341
Bosch,,Jessica,2287905
Bose,,Sarika,53004
Bostock,,Michael,434059
Bouchard,,Marie-Eve,2670215
Bouchard-Côté,,Alexandre,1580678
Bourges,,Antoine,2583777
Bourne,,Michael,1983007
Bournot-Trites,,Monique,1006629
Bovis,,Mike,28790
Bower,,Adam,1612179
Bowers,,Sarah,473283
Bowers,,Fred,628413
Bowers,,Katherine,2126257
Bowie,,Lori,1889904
Bowker,,Elizabeth,1839755
Bowles,,Malcolm,2560501
Bowles,,Margaret,2665943
Bowman,J,William,2706975
Boychuk,,Peter,2580536
Boyd,,Susan,346712
Boyd,,Jade,1143398
Boyd,R.,David,2155064
Boyle,,Christine,198971
Bradfield,,Gary,42348
Bradley,,Nicholas,830449
Bradley,,Susanne,2253287
Brady,,Colleen,1650659
Brain,,Robert,521188
Brakocevic,,Miljan,2042602
Brander,,James,955999
Bratiotis,,Christiana,2397310
Braund,,Susanna,1120228
Brauner,,Colin,416159
Brayer,,Gary,41734
Brcic,,Jelena,1748963
Brealey,,Chad,2332402
Bredberg,,Elizabeth,1334290
Bredin,,Shannon,168468
Breglia,,Susana,819140
Brenner,,Colleen,1145771
Breton,,Rob,88484
Breton,,Charles,2179529
Bridson,,Robert,815027
Briggs,,Marlene,36665
Briley,,Alexis,2448508
Brinton,,Laurel,105634
Brock,,Hugh,58145
Brock,,Linda,70600
Brocklebank,,Lisa,1284573
Broderick,,George,83695
Brodie,,Jedediah,1849426
Bronfman,,Alejandra,257912
Brook,,Timothy,1423025
Brooke,,Julian,2423506
Brooks,,Ian,1951404
Brooks,,Carellin,2668244
Brosnan,,Patrick,789745
Brosseau-Liard,,Patricia,1712708
Brotto,,Lori,709294
Brown,,Kimberly,883145
Brown,,Stephanie,957754
Brown,,Jason,1383866
Brown,,Sarah,2343274
Brown,,Sandra,1253683
Brown,,Loch,1711098
Brown,,Lindsay,2718167
Brown-Evans,,Taylor,1825974
Browne,,Annette,1707306
Brownlee,,Kim,2665989
Brownsey,,Roger,51847
Brownstein,,David,1714022
Bruce,,Robert,1731705
Bruch,,Elizabeth,1590670
Brumer,,Harry,1735006
Bruni,,Carmen,1706870
Bruno,,Talino,2197157
Bryan,,Jim,227627
Bryant,,Kenneth,672068
Brydges,,David,102150
Bryman,,Douglas,287723
Bryson,,Stephanie,1828690
Bryson,,Mary,2197214
Bucchia,Del,Dina,2281611
Buchanan,,Alan,1371540
Buckler,Jean,Elizabeth,2210591
Buechner,,Sara,370312
Buffam,,Bonar,1553221
Buholzer,,Bill,1882462
Bulkan,,Janette,2215501
Bull,,Gary,1284336
Bull,,Justin,2503047
Bulmer,,Marja,1936792
Bunch,,Mads,959666
Bundon,,Andrea,2243193
Bunjun,,Benita,541210
Bunn,,Robert,56678
Burda,,Yuri,1752937
Burgess,,Diane,333193
Burgoyne,,Daniel,94336
Burk,,Stefania,1132954
Burke,,Phaedra,1879607
Burke,,Sarah,1682483
Burkett,S,Craig,1758230
Burkholder,,Leslie,42342
Burnell,,Elliott,51851
Burnett,,Catherine,983269
Burnham,,Thor,1327615
Burnnett,,Joel,1617355
Burtnick,,Les,22294
Burton,,Strang,1550028
Burton-Jones,,Andrew,834460
Bushe,,W. Kendal,91840
Bussiere,,Guillaume,1372095
Bustin,,Marc,125260
Butchart,,Ross,794624
Butler,,Gregory,71825
Butler,,Joy,823951
Buttenschoen,,Andreas,2364031
Butterfield,,Alexander,2545232
Butterwick,,Shauna,1454038
Byers,,Michael,418930
Byrne,,Catherine,2105343
Byrne,,Fionn,2520986
Byrne,,Matthew,2517559
Byrne,,Jeffrey,1368677
Byrne,,Connor,2531915
Bystriansky,,Jason,1383413
Cabezas,,Oscar,1717709
Cabrera,,Juan,1129794
Cacchioni,,Thea,1297211
Cadell,,Meryn,771311
Cairncross,,Molly,2668794
Cairns,,Brian,322602
Calder,D,Ryan,1825137
Calloway,,Katherine,1176020
Calvino-Fraga,,Jesus,339161
Camarena,Antolin,Omar,2192487
Camcastle,,Cara,637112
Cameron,,Brendan,2140947
Cameron,,Gavin,2243046
Cameron,,Max,79989
Campbell,,Colin,104849
Campbell,,Chuck,540390
Campbell,,Deborah,956348
Campbell,,Alice,1237545
Campbell,,Kim,1254952
Campbell,,Harlan,2331928
Campbell,,Trevor,2624354
Campbell Meier,,Jennifer,943539
Cannon,,Jonathan,1564945
Canuto,,Luisa,122091
Cao,,Jax,1429831
Cao,,Yankai,2452133
Carazzo,,Guillaume,1114584
Carbonetti,,Maria,272800
Carden,,Guy,108621
Cardoso,,Amanda,2480913
Carenini,,Giuseppe,29137
Carleton,,Bruce,2482503
Carlson,,Murray,128339
Carlson,,Scott,427517
Carlsten,,Crhistopher,1823806
Carlsten,,Christopher,2481216
Carmichael,,Jeffrey,2643800
Carnovale,,Marc,1716231
Carpenter,,Mark,2462038
Carpiano,,Richard,892182
Carr,,Wendy,1111806
Carr,,Geoffrey,1598095
Carr,,Roxanne,2340001
Carrabre,,M Gillian,2617643
Carrasco-Teja,,Mariana,471822
Carrier-Moisan,,Marie-Eve,1387164
Carroll,,Allan,1871699
Carten,,Anne,1299299
Carter,,Eric,2097983
Carter,,Kristen,2337425
Carter,,Paul,21180
Casquilho-Resende,,Camila,2093901
Cassidy,,Alice,1699935
Castellanos-Hurtado,,Valeria,1892024
Castellarin,,Simone,2396899
Casto,Preston,Kevin,2403767
Castonguay-Bélanger,,Joël,1621881
Castro,,Kevin,2403725
Caton,,Susan,843205
Catron,,Mandy,1001030
Catungal,,JP,2231942
Catungal,,JP John Paul,2362570
Caunt,,Lachlan,2608756
Caute,,Adeline,1274870
Cautis,,Sabin,1854713
Cavell,,Richard,70085
Cavusoglu,,Hasan,863049
Cawley,,Susan,967778
Ceal,,Satya Narayana,2706450
Celler,,Anna,1699018
Cenfetelli,,Ronald,430094
Cernele,,Shane,1469749
Cerri,,Ronaldo,2021644
Chai,,Susan,256986
Chamberlain,,Sandra,1239370
Champion,,Kathy,936397
Chan,,David,1234775
Chan,,Robert,1338000
Chan,,Chadwick,1359590
Chan,,Vincent,1692409
Chan,,Judy,1711797
Chan,,Kai,1427973
Chan,,Elic,1771328
Chan,,Irwin,2186777
Chand,,Gabriel,1111658
Chang,,Mikeson,1102623
Chang,,Chieh-Yang,2303759
Chang,,Dorothy,771281
Chanway,,Chris,30441
Chapman,,Mary,43260
Chappells,,Heather,2149299
Chapple,,Clive,2384342
Chapple,,Clive,525336
Charbonneau,,James,1738984
Charette,,Laurent,2456908
Chartrand,,Shawn,2328032
Chateau,,Claire,2388194
Chatzivasileiou,,Evangelia,2699514
Chatzivasileiou,,Litsa,268758
Chau,,Rebecca,43669
Chau,,Albert,1089592
Chaudhry,S,Ayesha,1270680
Cheek,,Timothy,2084377
Chen,,Robert,35903
Chen,,David,42355
Chen,,Jingyi,47289
Chen,,Jinhua,55711
Chen,,Jenny,650948
Chen,,Jason,832138
Chen,,Jack,836572
Chen,,Kelvin,1312375
Chen,,Allen,1359819
Chen,,Jiahua,1536332
Chen,,Yu-Ting,1669473
Chen,,Frances,1989747
Chen,,Xiumin,2024139
Chen,,Christine,2090480
Chen,,Andy,2348694
Chen,,Cheng,2552593
Chen,,Lianne,1659401
Chen,,Liane,2413244
Chen,,Hsueh Ni,1595735
Chen,Yao Chu,Andrew,1927484
Cheng,,Maorong,236375
Cheng,,Kim,570904
Cheng,Chuen,Man,1822194
Cheng,,Aaron,2143110
Cheong,,Amanda,2545338
Cherkasova,,Mariya,2550015
Cheung,,Y.M.,96333
Cheung,,Karen,1227463
Cheung,,Desmond,1405799
Cheung,,Yau Man,2372233
Cheung,,Benjamin,1837532
Chiao,,Mu,406735
Childs,,Mary,764401
Chin,,Scott,2643802
Chiniforoosh,,Sina,2113450
Chipeniuk,,Karsten,1388037
Chisholm,,Brian,35555
Chisholm,,Amanda,1884234
Chitnev,,Veta,1254442
Chiu-Duke,,Josephine,42701
Cho,,Sunah,829579
Cho,,Youngmi,1419003
Cho,,David,2664243
Choi,,Marcia,1185363
Chong,,Kevin,1186756
Chong,,Mary,2007896
Choptuik,,Matthew,1762236
Choquette,,Elena,2395536
Chou,,Steve,457702
Chou,,Keng C.,690322
Chow,,Garland,95113
Chowdhury,,Arjun,1453818
Chowrira,,Sunita,733710
Christen,,Andreas,996174
Christensen,,Linda,390746
Christianson,,Linda,69905
Christianson,,Morten,907435
Christie,,Niall,70083
Christie,,Stella,1476758
Christie,,Gordon,631189
Christie,,Tim,886450
Christoff,,Kalina,2156432
Christopoulos,,John,2192486
Christou,,Cameron,1526976
Chrostowski,,Lukas,642248
Chua,,Romeo,198664
Chun,,Jennifer,964288
Chung,,Keng,1095113
Chung,,Yunhee,1103840
Chung,,Tran,421549
Chwelos,,Paul,32467
Cicchetti,,Tina,863563
Cierna,,Annie,2643405
Cinq-Mars,,Crystal,1875809
Citizen,,Robyn,1820398
Ciufolini,,Marco A.,394293
Clark,,Beth,1121798
Clark,,Leah,1329148
Clark,,Randal,2176962
Clark,,Luke,1973611
Clark,,Joseph,1450740
Clarke,,Patrick,1254785
Clarke,,Roger,1302499
Clarkston,,Bridgette,2279762
Clausen,,Bruce,75776
Clausen,,Marion,1299308
Claxton,,Dana,1712157
Clay,,Adam,569547
Clee,,Susanne,1340211
Clegg,,Dan,2373174
Cliff,,Brian,42353
Close,,David,1407001
Clough,,David,2278621
Cloutier,,Roy,2636231
Cockcroft,,Steven,36832
Cockram,,Nathan,2400710
Code,,Warren,690360
Cohen,,Dave,794857
Cohodas,,Marvin,215519
Cojocaru,,Serban,2406363
Coleman,,Katharina,338552
Coles,,Matthew,2009298
Collette,,Berg,2627818
Collins,,Dan,2310917
Comeau,,Wendy,1185696
Comisarow,,Melvin,29106
Conati,,Cristina,28731
Condon,,Patrick,70602
Condon,,Anne,2222192
Conibear,,Elizabeth,1704835
Connolly,,Mary,2412367
Connolly,B.,Mary,2683761
Connolly,,Andrew,2358093
Conroy,,Patrick,2247216
Conte,,Gina,2044330
Conway,,Jessica,1486253
Cook,,Graham,166685
Cooke,,James (Jim),1806801
Cool,,Julie,2230582
Coombs,,Daniel,253355
Coombs,,Micheal,1652481
Coop,,Jane,559041
Cooper,,John,37877
Cooper,,Lisa,74751
Cooper,,Elisabeth,857229
Cooper,,Kendra,2009577
Cooperman,,Michael,820513
Coops,,Nicholas,886045
Copeland,,Brian,1437651
Copeland,,Brain,1437654
Copithorne,,Maurice,1126491
Corber,,Ron,1580003
Corbett,,Ken,2386635
Coren,,Stanley,35900
Corewyn,,Janka,2402840
Corewyn,,Janka,345546
Corhay,,Alexandre,1840694
Cornil,,Yann,2132955
Corrigall-Brown,,Catherine,1146362
Cortes,,Matias,1664768
Cortiana,,Giulia,2338527
Costantino,,Manuela,457822
Couch,,Brett,1548820
Coulthard,,Lisa,252831
Coulthard,,Glen,1295840
Courtiel,,Julien,2098206
Coury,,Ariane,55182
Cousland,,Rob,32310
Covey,,Scott,446752
Cowe,,Jennifer,2306000
Cox,,Elizabeth,1652388
Cox,,Susan,1702294
Cox,,Dan,1921391
Cox,,Barbara,138233
Coz,Le,Stephan,1928457
Craig,,Bonnie,1601423
Craigie,,Allan,1480012
Cramond,,Patrick,37536
Crane,,Angela,1894633
Crawford,,David,107197
Crawford,,Robert,104860
Creagh,,Louise,1300358
Cree,,Dylan,2542142
Creese,,Gillian,545110
Creighton,,Millie,100227
Cretu,,Edmond,916668
Cringan,,John,107739
Cripton,A,Peter,1800099
Crocker,,Peter,841522
Croft,,Alyssa,1919333
Crofton,,Fiona,1175717
Cronk,C,Quentin,1879070
Cronkite,,Susuan-Marie,401673
Crover,,Sarah,2171700
Crowe,,Sean,1977135
Crutsinger,,Greg,1728071
Cruz,,Cesi,2155061
Csipak,,Eva,2662919
Cubbon,,Paul,822030
Cuff,,Lindsay,2647539
Cuffe,,Timothy,2447209
Cui,,Wei,1983990
Culbert,,John,1624883
Culbert,,Patrick,2327519
Culham,,Tom,1449875
Culibrk,,Ana,460624
Cullis,,Pieter,198583
Cunliffe,,Emma,1274390
Curat,,Herve,247309
Currie,,Dawn,461335
Currie,,Noel,1621377
Curry,,Ann,861826
Curry,,Mary Jo,1885008
Cutler,,Fred,104850
Cuttler,,Carrie,967704
Cutts,,Jamie,2670529
Cytrynbaum,,Eric,430961
Czarnecki,,Avery,1214243
D'Entremont,,Agnes,1994328
D'Onofrio,,Christine,396207
Dagnino,,Arianna,2091335
Dahl,,Darren,213195
Dahlberg,,Samantha,2278349
Dahmen,,Joseph,1833834
Daigle,,Michelle,2216462
Dake,,Gregory,42331
Dalton,Elizabeth,Lauren,2281159
Daly,,Zach,1985346
Daly,,Zachary,2433395
Dalziel,,Pamela,43207
Damascelli,,Andrea,338636
Damer,,Eric,959253
Dance,,Mark,2054313
Dancygier,,Barbara,188141
Daniels,,Michael,2135647
Daniels,,Lori,43453
Danielson,,Dennis,857355
Danielson,,Peter,1402981
Danielson,,Kyle,2047924
Darwich,,Lina,1988047
Darwish,,Mohammad,1546471
Das,,Raibatak,939483
Das,,Sonia,1167331
Das,,Anupam,1826104
Dasgupta,,Srabana,431642
Dasgupta,,Anupriya,2679015
Dauvergne,,Catherine,69817
Dauvergne,,Peter,104851
Davidoff,,Thomas,1991523
Davidson,,Sarah,2085169
Davies,E,Julian,1753903
Davies,,Paul,322668
Davila,,Gonzalo,1754908
Davis,,Henry,288105
Davis,,Wade,1925126
Dawczyk,,Anna,2722481
Dawson,,Anthony,36660
Dawson,,Jessica,2052307
Dawson,,Terence,2063156
Dawson,,Samantha,2634714
De Angelis,,Franco,394945
De Freitas,,Nando,58263
De Grandis,,Rita,333924
De Greeff,,Paul,2000520
de Kerckhove,,Pascale,2545572
De Rooy,,Johan,32926
De Rosario,,Tania,2672331
De Rozario,,Tania,2670933
De Silva,,Clarence,2542615
De Vera,,Mary,2382983
De Villiers,,Jessica,167810
De Volder,,Kris,216584
De Vries,,Margaret,2082186
De Vroey,,Michel,1371823
Debono,,Allan,1080644
Deby,,Jeff,194098
Dechaine,,Rose-Marie,288123
